iter	Passed	Remaining
0	113	113142
1	113	56759
2	114	37967
3	114	28565
4	115	22921
5	115	19156
6	116	16468
7	116	14453
8	117	12884
9	117	11628
10	117	10607
11	118	9753
12	119	9037
13	119	8417
14	120	7884
15	120	7413
16	121	6998
17	121	6631
18	122	6299
19	122	6003
20	122	5733
21	123	5491
22	124	5267
23	124	5061
24	124	4874
25	125	4699
26	125	4537
27	126	4386
28	126	4247
29	127	4118
30	127	3996
31	128	3881
32	128	3773
33	129	3672
34	129	3578
35	130	3491
36	130	3407
37	131	3325
38	131	3248
39	132	3175
40	132	3109
41	133	3043
42	133	2980
43	134	2919
44	134	2862
45	135	2807
46	135	2754
47	136	2704
48	136	2655
49	137	2608
50	137	2563
51	138	2520
52	138	2478
53	139	2438
54	139	2400
55	140	2362
56	140	2326
57	141	2291
58	141	2257
59	142	2226
60	142	2194
61	143	2164
62	143	2135
63	144	2106
64	144	2079
65	145	2052
66	145	2025
67	145	2000
68	146	1975
69	146	1951
70	147	1928
71	147	1905
72	148	1883
73	148	1861
74	149	1840
75	149	1819
76	150	1799
77	150	1780
78	151	1760
79	151	1742
80	152	1726
81	152	1709
82	152	1690
83	153	1673
84	153	1657
85	154	1641
86	154	1625
87	155	1610
88	155	1595
89	156	1581
90	156	1566
91	157	1552
92	157	1538
93	158	1524
94	158	1511
95	159	1498
96	159	1486
97	160	1473
98	160	1461
99	161	1449
100	161	1438
101	162	1426
102	162	1415
103	163	1404
104	163	1395
105	164	1385
106	164	1374
107	165	1364
108	165	1353
109	166	1343
110	166	1334
111	167	1324
112	167	1314
113	168	1305
114	168	1296
115	169	1287
116	169	1278
117	169	1269
118	170	1260
119	170	1251
120	171	1243
121	171	1234
122	172	1226
123	172	1218
124	172	1210
125	173	1203
126	173	1195
127	174	1187
128	174	1181
129	175	1174
130	175	1166
131	176	1159
132	176	1152
133	177	1145
134	177	1139
135	178	1132
136	178	1125
137	179	1119
138	179	1112
139	180	1106
140	180	1099
141	180	1092
142	181	1086
143	181	1081
144	182	1075
145	182	1069
146	183	1063
147	183	1057
148	184	1051
149	184	1046
150	185	1041
151	185	1036
152	186	1031
153	186	1026
154	187	1020
155	187	1015
156	188	1010
157	188	1005
158	189	1000
159	189	995
160	189	990
161	190	985
162	190	980
163	191	975
164	191	970
165	192	966
166	192	961
167	193	956
168	193	952
169	194	948
170	194	943
171	195	939
172	195	935
173	196	931
174	196	927
175	197	922
176	197	918
177	198	914
178	198	911
179	199	907
180	199	903
181	200	899
182	200	895
183	200	891
184	201	887
185	201	883
186	202	879
187	202	875
188	203	872
189	203	868
190	204	865
191	204	861
192	205	857
193	205	854
194	206	850
195	206	847
196	207	844
197	207	840
198	208	837
199	208	834
200	209	830
201	209	827
202	209	824
203	210	820
204	210	817
205	211	814
206	211	811
207	212	808
208	212	805
209	213	802
210	213	799
211	214	795
212	214	792
213	215	789
214	215	787
215	216	784
216	216	781
217	216	778
218	217	775
219	217	772
220	218	769
221	218	767
222	219	764
223	219	761
224	220	759
225	220	756
226	221	753
227	221	750
228	222	748
229	222	745
230	223	742
231	223	740
232	224	737
233	224	735
234	225	732
235	225	730
236	226	727
237	226	725
238	226	722
239	227	720
240	227	717
241	228	715
242	229	713
243	229	711
244	230	708
245	230	706
246	231	704
247	231	701
248	231	699
249	232	697
250	232	694
251	233	692
252	233	690
253	234	688
254	234	685
255	235	683
256	235	681
257	236	679
258	236	676
259	237	674
260	237	672
261	238	670
262	238	668
263	238	666
264	239	664
265	239	662
266	240	660
267	241	658
268	241	656
269	242	654
270	242	652
271	242	650
272	243	648
273	243	646
274	244	644
275	244	642
276	245	640
277	245	638
278	246	636
279	246	634
280	247	632
281	247	630
282	248	628
283	248	626
284	248	624
285	249	622
286	249	620
287	250	619
288	250	617
289	251	615
290	251	613
291	252	611
292	252	609
293	253	608
294	253	606
295	254	604
296	254	603
297	255	601
298	255	600
299	256	598
300	256	596
301	257	594
302	257	592
303	258	591
304	258	589
305	259	588
306	259	586
307	260	584
308	260	583
309	261	581
310	261	579
311	262	578
312	262	576
313	263	575
314	263	573
315	264	571
316	264	570
317	265	568
318	265	566
319	266	565
320	266	563
321	267	562
322	267	560
323	267	559
324	268	557
325	268	555
326	269	554
327	269	552
328	270	551
329	270	549
330	271	548
331	271	546
332	272	545
333	272	543
334	273	542
335	273	540
336	274	539
337	274	537
338	275	536
339	275	535
340	276	533
341	276	532
342	276	530
343	277	529
344	277	527
345	278	526
346	278	524
347	279	523
348	279	521
349	280	520
350	280	519
351	281	517
352	281	516
353	282	514
354	282	513
355	282	511
356	283	510
357	284	509
358	284	508
359	285	506
360	285	505
361	286	504
362	286	502
363	286	501
364	287	500
365	287	498
366	288	497
367	288	496
368	289	494
369	289	493
370	290	492
371	290	490
372	291	489
373	291	488
