iter	Passed	Remaining
0	0	646
1	1	566
2	1	526
3	2	503
4	2	492
5	2	483
6	3	476
7	3	472
8	4	467
9	4	462
10	5	458
11	5	455
12	5	454
13	6	454
14	6	452
15	7	450
16	7	448
17	8	446
18	8	448
19	9	449
20	9	450
21	10	450
22	10	452
23	11	450
24	11	448
25	11	447
26	12	446
27	12	444
28	13	443
29	13	441
30	14	440
31	14	438
32	14	437
33	15	436
34	15	435
35	16	434
36	16	432
37	17	431
38	17	431
39	17	430
40	18	429
41	18	428
42	19	427
43	19	426
44	20	426
45	20	426
46	21	429
47	21	432
48	22	433
49	22	433
50	23	433
51	23	433
52	24	433
53	24	432
54	25	431
55	25	430
56	25	429
57	26	428
58	26	427
59	27	426
60	27	425
61	28	424
62	28	423
63	28	422
64	29	422
65	29	421
66	30	420
67	30	419
68	31	419
69	31	418
70	31	417
71	32	416
72	32	416
73	33	416
74	33	416
75	34	415
76	34	415
77	35	414
78	35	413
79	35	413
80	36	412
81	36	411
82	37	408
83	37	408
84	37	407
85	38	406
86	38	406
87	39	405
88	39	405
89	40	404
90	40	403
91	40	403
92	41	402
93	41	402
94	42	401
95	42	400
96	42	400
97	43	399
98	43	398
99	44	398
100	44	397
101	45	398
102	45	397
103	46	397
104	46	396
105	46	396
106	47	395
107	47	395
108	48	394
109	48	394
110	49	393
111	49	392
112	49	392
113	50	391
114	50	390
115	51	390
116	51	389
117	51	388
118	52	387
119	52	387
120	53	386
121	53	385
122	53	384
123	54	384
124	54	383
125	55	383
126	55	382
127	56	381
128	56	381
129	56	380
130	57	382
131	58	382
132	58	382
133	59	381
134	59	381
135	59	380
136	60	380
137	60	379
138	61	379
139	61	378
140	62	378
141	62	376
142	62	376
143	63	375
144	63	375
145	64	374
146	64	374
147	64	373
148	65	373
149	65	372
150	66	372
151	66	372
152	67	371
153	67	370
154	67	370
155	68	369
156	68	369
157	69	371
158	70	372
159	70	371
160	71	370
161	71	370
162	71	369
163	72	369
164	72	368
165	73	368
166	73	367
167	74	367
168	74	366
169	75	366
170	75	365
171	75	365
172	76	364
173	76	364
174	77	363
175	77	363
176	78	362
177	78	362
178	78	361
179	79	361
180	79	360
181	80	360
182	80	359
183	81	359
184	81	359
185	82	359
186	82	358
187	82	358
188	83	357
189	83	357
190	84	356
191	84	356
192	85	355
193	85	355
194	85	354
195	86	354
196	86	353
197	87	353
198	87	353
199	88	352
200	88	351
201	88	351
202	89	351
203	89	350
204	90	350
205	90	349
206	91	349
207	91	348
208	91	348
209	92	347
210	92	347
211	93	347
212	93	347
213	94	346
214	94	346
215	95	345
216	95	345
217	96	344
218	96	344
219	97	343
220	97	343
221	97	342
222	98	342
223	98	342
224	99	341
225	99	341
226	100	340
227	100	340
228	100	339
229	101	339
230	101	338
231	102	338
232	102	337
233	102	337
234	103	336
235	103	336
236	104	335
237	104	335
238	105	334
239	105	335
240	106	335
241	107	335
242	107	335
243	108	334
244	108	334
245	108	333
246	109	333
247	109	332
248	110	332
249	110	331
250	110	331
251	111	330
252	111	330
253	112	329
254	112	329
255	113	328
256	113	328
257	113	327
258	114	327
259	114	326
260	115	326
261	115	325
262	116	325
263	116	324
264	116	324
265	117	323
266	117	323
267	118	323
268	118	322
269	119	322
270	119	322
271	120	321
272	120	321
273	121	321
274	121	321
275	122	320
276	122	320
277	123	320
278	123	320
279	124	320
280	125	320
281	125	319
282	125	319
283	126	318
284	126	318
285	127	317
286	127	317
287	128	316
288	128	316
289	128	315
290	129	315
291	129	314
292	130	314
293	130	314
294	131	314
295	131	313
296	132	313
297	132	312
298	133	312
299	133	312
300	134	311
301	134	311
302	135	310
303	135	310
304	135	309
305	136	309
306	136	308
307	137	308
308	137	308
309	138	307
310	138	307
311	139	306
312	139	306
313	140	305
314	140	305
315	140	305
316	141	304
317	141	304
318	142	303
319	142	303
320	143	303
321	143	302
322	144	302
323	144	302
324	145	301
325	145	301
326	146	301
327	146	300
328	147	300
329	147	300
330	148	299
331	148	299
332	149	298
333	149	298
334	149	297
335	150	297
336	150	296
337	151	296
338	151	295
339	152	295
340	152	294
341	152	294
342	153	293
343	153	293
344	154	292
345	154	292
346	155	292
347	155	291
348	156	291
349	156	290
350	157	290
351	157	289
352	157	289
353	158	288
354	158	288
355	159	287
356	159	287
357	160	286
358	160	286
359	160	286
360	161	285
361	161	285
362	162	284
363	162	284
364	163	283
365	163	283
366	163	282
367	164	282
368	164	281
369	165	281
370	165	280
371	166	280
372	166	280
373	167	279
374	167	279
375	168	278
376	168	278
377	168	277
378	169	277
379	169	276
380	170	276
381	170	275
382	171	275
383	171	275
384	171	274
385	172	274
386	172	273
387	173	273
